transaction_id,customer_id,transaction_date,transaction_type,amount,branch_id,fraud_label
TXN000092,CUST0289,2023-11-15,Deposit,7140.23,BLR-003,0
TXN000093,CUST0050,2024-06-06,Deposit,197729.85,PUN-006,0
TXN000094,CUST0498,2024-01-28,Withdrawal,18835.33,JAI-009,1
TXN000095,CUST0420,2024-01-15,Bill Payment,4215.4,JAI-009,0
TXN000096,CUST0294,2024-02-29,Withdrawal,1561.42,AHM-008,0
TXN000097,CUST0463,2024-01-19,Deposit,714.99,JAI-009,0
TXN000098,CUST0410,2024-03-21,Withdrawal,6273.92,DL-002,1
TXN000099,CUST0089,2024-02-15,Withdrawal,1983.03,CHN-004,0
TXN000100,CUST0022,2023-09-03,Bill Payment,891.85,DL-002,0
TXN000101,CUST0104,2024-02-08,Withdrawal,2262.24,LKN-010,0
TXN000102,CUST0045,2023-08-04,Bill Payment,1342.3,JAI-009,0
TXN000103,CUST0439,2023-12-14,Transfer,37218.83,JAI-009,0
TXN000104,CUST0403,2023-07-07,Bill Payment,14157.05,DL-002,0
TXN000105,CUST0291,2023-09-14,Deposit,4867.97,DL-002,0
TXN000106,CUST0403,2023-08-21,Transfer,29025.59,JAI-009,0
TXN000107,CUST0136,2024-01-27,Bill Payment,5392.92,AHM-008,0
TXN000108,CUST0020,2024-02-28,Withdrawal,1748.4,HYD-005,1
TXN000109,CUST0312,2024-05-12,Bill Payment,30569.22,MU-001,0
TXN000110,CUST0354,2023-12-17,Withdrawal,9383.35,MU-001,1
TXN000111,CUST0460,2023-11-15,Transfer,1415.59,MU-001,0
TXN000112,CUST0160,00/00/0000,Transfer,3911.18,AHM-008,0
TXN000113,CUST0051,2024-06-15,Withdrawal,1718.59,BLR-003,1
TXN000114,CUST0397,2024-02-12,Transfer,935.09,HYD-005,0
TXN000115,CUST0331,2024-05-05,Deposit,14934.26,CHN-004,0
TXN000116,CUST0380,2024-01-25,Bill Payment,48596.17,JAI-009,0
TXN000117,CUST0264,2023-07-29,Withdrawal,917.56,DL-002,1
TXN000118,CUST0207,2024-03-16,Withdrawal,9658.2,JAI-009,1
TXN000119,CUST0089,2023-07-15,Withdrawal,2251.22,CHN-004,0
TXN000120,CUST0017,2023-11-05,Bill Payment,,MU-001,0
TXN000121,CUST0102,2024-06-25,Transfer,2414.21,PUN-006,0
TXN000122,CUST0204,2024-03-15,Deposit,1742.74,MU-001,0
TXN000123,CUST0305,2024-03-07,Bill Payment,5209.43,BLR-003,0
TXN000124,CUST0301,2024-02-28,Transfer,1813.22,PUN-006,0
TXN000125,CUST0384,2023-11-10,Deposit,6799.12,HYD-005,1
TXN000126,CUST0084,2023-07-26,Withdrawal,4627.23,CHN-004,0
TXN000127,CUST0106,2024-06-11,Transfer,3689.56,KOL-007,0
TXN000128,CUST0005,2024-06-14,Bill Payment,1653.95,BLR-003,0
TXN000129,CUST0411,2024-05-03,Deposit,2459.9,CHN-004,0
TXN000130,CUST0365,2023-12-04,Transfer,12166.84,KOL-007,0
TXN000131,CUST0236,2023-12-26,Transfer,8965.15,CHN-004,0
TXN000132,CUST0267,2024-06-11,Bill Payment,1520.71,LKN-010,0
TXN000133,CUST0340,2024-03-18,Transfer,5536.95,JAI-009,0
TXN000134,CUST0145,2024-05-07,Transfer,12108.52,DL-002,0
TXN000135,CUST0142,2023-12-20,Transfer,662.96,HYD-005,0
TXN000136,CUST0488,2024-06-29,Transfer,9433.59,CHN-004,0
TXN000137,CUST0461,2023-11-01,Deposit,2219.09,LKN-010,0
TXN000138,CUST0349,2023-12-11,Withdrawal,9747.03,MU-001,1
TXN000139,CUST0133,2023-11-29,Bill Payment,1966.65,KOL-007,0
TXN000140,CUST0299,2023-07-19,Withdrawal,563.49,PUN-006,1
TXN000141,CUST0352,2023-10-22,Bill Payment,697.11,PUN-006,0
TXN000142,CUST0431,2023-09-26,Withdrawal,5206.7,HYD-005,0
TXN000143,CUST0380,2023-09-04,Transfer,6712.1,JAI-009,0
TXN000144,CUST0485,2023-10-02,Transfer,1660.41,DL-002,0
TXN000145,CUST0382,2023-10-23,Transfer,10575.67,KOL-007,0
TXN000146,CUST0191,2023-12-17,Transfer,669.26,LKN-010,0
TXN000147,CUST0241,2023-08-30,Deposit,4540.1,LKN-010,0
TXN000148,CUST0037,2024-05-13,Bill Payment,1149.15,CHN-004,0
TXN000149,CUST0196,2024-06-13,Transfer,2248.0,KOL-007,0
TXN000150,CUST0071,2023-09-16,Withdrawal,5202.42,PUN-006,1
TXN000151,CUST0458,2024-04-17,Bill Payment,1750.23,BLR-003,0
TXN000152,CUST0399,2023-10-01,Deposit,3098.07,AHM-008,0
TXN000153,CUST0161,2023-09-29,Deposit,16441.29,MU-001,0
TXN000154,CUST0390,2023-10-16,Withdrawal,2459.54,LKN-010,0
TXN000155,CUST0403,2024-03-07,Deposit,13397.6,BLR-003,0
TXN000156,CUST0220,2024-05-20,Bill Payment,1266.93,KOL-007,0
TXN000157,CUST0003,2024-01-13,Deposit,9281.38,JAI-009,0
TXN000158,CUST0487,2024-01-08,Deposit,,PUN-006,0
TXN000159,CUST0098,2024-03-28,Deposit,,MU-001,0
TXN000160,CUST0116,2023-11-05,Transfer,1888.85,HYD-005,0
TXN000161,CUST0258,2024-01-13,Transfer,9823.05,BLR-003,0
TXN000162,CUST0153,2023-07-24,Transfer,3851.99,AHM-008,0
TXN000163,CUST0269,2024-05-01,Transfer,7672.33,KOL-007,0
TXN000164,CUST0176,2023-09-07,Bill Payment,2380.86,PUN-006,0
TXN000165,CUST0486,2023-09-23,Bill Payment,5452.93,MU-001,0
TXN000166,CUST0109,2023-09-06,Deposit,4077.29,LKN-010,0
TXN000167,CUST0188,2023-09-02,Deposit,19957.06,KOL-007,0
TXN000168,CUST0395,2023-11-08,Deposit,6669.53,LKN-010,0
TXN000169,CUST0056,2024-06-03,Deposit,7369.63,MU-001,0
TXN000170,CUST0228,2024-01-30,Bill Payment,2998.14,DL-002,0
TXN000171,CUST0360,2024-02-28,Withdrawal,2737.7,CHN-004,0
TXN000172,CUST0005,2024-05-18,Transfer,2924.65,KOL-007,0
TXN000173,CUST0267,2024-06-04,Transfer,7889.93,LKN-010,0
TXN000174,CUST0215,2023-09-09,Deposit,2965.55,JAI-009,0
TXN000175,CUST0145,2023-08-30,Deposit,6958.57,DL-002,0
TXN000176,CUST0103,2024-05-07,Transfer,59306.9,JAI-009,0
TXN000177,CUST0361,2023-12-31,Bill Payment,13979.53,HYD-005,0
TXN000178,CUST0255,00/00/0000,Withdrawal,3323.49,AHM-008,0
TXN000179,CUST0007,2023-07-02,Deposit,20773.98,DL-002,0
TXN000180,CUST0253,2024-06-07,Withdrawal,3011.85,DL-002,0
TXN000181,CUST0371,2023-08-08,Deposit,425.92,HYD-005,0
TXN000182,CUST0152,2024-02-19,Transfer,1466.01,AHM-008,0
TXN000183,CUST0448,2023-09-28,Deposit,520.64,HYD-005,0
TXN000184,CUST0161,2024-06-11,Bill Payment,3223.37,DL-002,0
TXN000185,CUST0005,2023-07-24,Withdrawal,5024.6,BLR-003,0
TXN000186,CUST0490,2024-02-10,Transfer,36743.8,DL-002,0
TXN000187,CUST0094,2023-12-23,Deposit,,KOL-007,0
TXN000188,CUST0140,2024-02-19,Bill Payment,3778.49,AHM-008,0
TXN000189,CUST0454,2024-05-28,Withdrawal,13296.91,DL-002,0
TXN000190,CUST0483,2023-07-31,Withdrawal,346.07,DL-002,0
TXN000191,CUST0248,2024-04-28,Bill Payment,6520.7,BLR-003,0
TXN000192,CUST0314,2023-12-31,Deposit,12394.87,BLR-003,0
TXN000193,CUST0058,2024-03-06,Bill Payment,833.55,AHM-008,0
TXN000194,CUST0336,2023-11-11,Transfer,19389.85,MU-001,0
TXN000195,CUST0269,2024-06-12,Withdrawal,,PUN-006,1
TXN000196,CUST0359,2024-06-17,Deposit,2985.89,KOL-007,0
TXN000197,CUST0247,2023-11-05,Transfer,10502.18,KOL-007,0
TXN000198,CUST0457,2024-04-11,Deposit,74969.11,MU-001,0
TXN000199,CUST0259,2023-09-19,Bill Payment,6113.41,AHM-008,0
TXN000200,CUST0385,2023-08-08,Bill Payment,6620.09,PUN-006,0
TXN000201,CUST0026,2023-11-20,Withdrawal,2832.08,JAI-009,1
TXN000202,CUST0419,2024-01-23,Withdrawal,1772.57,DL-002,0
TXN000203,CUST0230,2024-04-19,Deposit,13311.76,AHM-008,0
TXN000204,CUST0255,2023-08-30,Deposit,1759.35,DL-002,0
TXN000205,CUST0286,2023-07-19,Deposit,5355.5,DL-002,0
TXN000206,CUST0327,2024-05-12,Transfer,2770.58,JAI-009,0
TXN000207,CUST0344,2024-05-31,Bill Payment,8732.23,PUN-006,0
TXN000208,CUST0419,2023-07-28,Withdrawal,7334.87,AHM-008,0
TXN000209,CUST0308,2024-05-13,Bill Payment,17069.49,PUN-006,0
TXN000210,CUST0050,2023-08-28,Withdrawal,2665.06,MU-001,0
TXN000211,CUST0494,2024-05-20,Transfer,3555.14,JAI-009,0
TXN000212,CUST0055,2024-06-24,Deposit,1518.51,BLR-003,0
TXN000213,CUST0055,2024-01-26,Transfer,2883.75,LKN-010,0
TXN000214,CUST0477,2023-08-31,Bill Payment,7729.2,CHN-004,0
TXN000215,CUST0367,2023-10-06,Transfer,12190.18,DL-002,0
TXN000216,CUST0475,2023-07-24,Deposit,1625.23,AHM-008,0
TXN000217,CUST0490,2024-04-27,Withdrawal,13954.08,AHM-008,1
TXN000218,CUST0284,2023-07-25,Bill Payment,25003.36,LKN-010,0
TXN000219,CUST0400,2024-03-17,Withdrawal,8071.72,LKN-010,1
TXN000220,CUST0054,2023-09-04,Bill Payment,46730.62,LKN-010,0
TXN000221,CUST0259,2023-12-12,Bill Payment,,KOL-007,0
TXN000222,CUST0391,2024-06-19,Withdrawal,1103.69,HYD-005,1
TXN000223,CUST0497,2023-12-23,Transfer,581.46,AHM-008,0
TXN000224,CUST0212,2023-09-09,Transfer,29591.82,JAI-009,0
TXN000225,CUST0378,2024-06-29,Withdrawal,,CHN-004,0
TXN000226,CUST0149,2024-06-30,Transfer,4597.64,BLR-003,0
TXN000227,CUST0500,2024-05-28,Withdrawal,6877.17,JAI-009,1
TXN000228,CUST0166,2024-05-22,Deposit,,PUN-006,0
TXN000229,CUST0293,2024-04-24,Bill Payment,92494.31,JAI-009,0
TXN000230,CUST0414,2024-02-02,Deposit,5739.14,JAI-009,0
TXN000231,CUST0075,2024-01-12,Deposit,5604.21,MU-001,0
TXN000232,CUST0147,2023-09-21,Transfer,11741.91,BLR-003,0
TXN000233,CUST0402,2024-06-18,Transfer,8753.52,CHN-004,0
TXN000234,CUST0184,2023-07-17,Bill Payment,6429.56,DL-002,0
TXN000235,CUST0379,2024-06-10,Withdrawal,1903.46,JAI-009,0
TXN000236,CUST0402,2024-03-18,Transfer,8653.87,MU-001,0
TXN000237,CUST0214,2024-01-15,Transfer,,JAI-009,0
TXN000238,CUST0104,2023-11-06,Bill Payment,24698.65,CHN-004,0
TXN000239,CUST0364,2024-06-25,Transfer,33250.46,LKN-010,0
TXN000240,CUST0101,2024-05-04,Withdrawal,2661.22,HYD-005,0
TXN000241,CUST0039,2024-06-14,Withdrawal,1498.88,BLR-003,0
TXN000242,CUST0194,2023-08-31,Deposit,4226.19,KOL-007,0
TXN000243,CUST0067,2023-11-13,Withdrawal,5254.66,LKN-010,1
TXN000244,CUST0170,2023-07-03,Bill Payment,18270.26,BLR-003,0
TXN000245,CUST0306,2023-12-13,Deposit,644.87,LKN-010,0
TXN000246,CUST0252,2023-12-02,Transfer,30805.87,DL-002,0
TXN000247,CUST0270,2023-12-10,Withdrawal,4065.9,BLR-003,0
TXN000248,CUST0082,2024-03-15,Bill Payment,2944.64,JAI-009,0
TXN000249,CUST0179,2023-08-17,Withdrawal,,CHN-004,1
TXN000250,CUST0185,2023-12-17,Transfer,674.64,CHN-004,0
TXN000251,CUST0272,2024-05-12,Bill Payment,13197.79,JAI-009,0
TXN000252,CUST0005,2024-05-28,Deposit,5366.77,PUN-006,0
TXN000253,CUST0315,2024-05-24,Withdrawal,1045.29,MU-001,0
TXN000254,CUST0196,2023-12-12,Deposit,1038.89,KOL-007,0
TXN000255,CUST0013,2023-11-22,Transfer,3284.79,JAI-009,0
TXN000256,CUST0250,2024-02-14,Deposit,36418.27,HYD-005,0
TXN000257,CUST0165,2023-10-07,Deposit,3599.28,DL-002,0
TXN000258,CUST0274,2024-04-01,Deposit,809.35,DL-002,0
TXN000259,CUST0397,2024-05-18,Withdrawal,3659.6,KOL-007,1
TXN000260,CUST0276,2023-10-14,Bill Payment,3543.01,DL-002,0
TXN000261,CUST0013,2023-09-17,Bill Payment,193.2,PUN-006,0
TXN000262,CUST0028,2023-08-07,Withdrawal,4604.76,HYD-005,1
TXN000263,CUST0421,2024-04-20,Withdrawal,3725.21,HYD-005,0
TXN000264,CUST0323,2024-02-16,Bill Payment,11332.7,KOL-007,0
TXN000265,CUST0345,2024-01-16,Deposit,45195.25,JAI-009,1
TXN000266,CUST0033,2024-05-12,Deposit,18993.99,DL-002,0
TXN000267,CUST0055,2024-03-14,Transfer,3559.35,HYD-005,0
TXN000268,CUST0392,2023-11-22,Bill Payment,1302.67,KOL-007,0
TXN000269,CUST0016,2024-06-03,Bill Payment,107799.87,BLR-003,0
TXN000270,CUST0383,2023-09-08,Bill Payment,5276.73,JAI-009,0
TXN000271,CUST0074,2024-05-20,Transfer,4997.61,PUN-006,0
TXN000272,CUST0284,2023-07-06,Withdrawal,4774.53,DL-002,0
TXN000273,CUST0306,2024-04-19,Bill Payment,6233.55,JAI-009,0
TXN000274,CUST0157,2023-08-13,Withdrawal,4133.04,PUN-006,0
TXN000275,CUST0436,2024-05-26,Withdrawal,2469.09,BLR-003,1
TXN000276,CUST0428,2024-05-11,Transfer,,CHN-004,0
TXN000277,CUST0410,2024-06-08,Deposit,4725.35,JAI-009,0
TXN000278,CUST0038,2024-04-07,Transfer,2560.33,DL-002,0
TXN000279,CUST0372,2023-10-10,Bill Payment,2089.3,PUN-006,0
TXN000280,CUST0336,2024-06-08,Withdrawal,5584.31,DL-002,1
TXN000281,CUST0461,2023-08-05,Withdrawal,3619.27,PUN-006,1
TXN000282,CUST0316,2023-12-16,Transfer,29875.43,LKN-010,0
TXN000283,CUST0187,2024-04-16,Transfer,204.15,KOL-007,0
TXN000284,CUST0127,2023-12-08,Withdrawal,18211.49,KOL-007,0
TXN000285,CUST0069,2024-01-01,Transfer,21923.23,AHM-008,0
TXN000286,CUST0397,00/00/0000,Transfer,408.27,AHM-008,0
TXN000287,CUST0331,2023-09-28,Deposit,3257.69,HYD-005,0
TXN000288,CUST0457,2023-09-10,Withdrawal,3147.21,HYD-005,1
TXN000289,CUST0040,2024-05-16,Deposit,907.77,MU-001,0
TXN000290,CUST0016,2024-05-19,Bill Payment,1932.6,LKN-010,0
TXN000291,CUST0283,2023-07-19,Transfer,1296.35,JAI-009,0
TXN000292,CUST0242,2024-04-02,Withdrawal,40244.34,PUN-006,1
TXN000293,CUST0376,2024-04-27,Transfer,15105.5,BLR-003,0
TXN000294,CUST0047,2024-03-18,Bill Payment,22603.64,PUN-006,0
TXN000295,CUST0123,2024-06-04,Withdrawal,11684.36,JAI-009,1
TXN000296,CUST0092,2023-09-20,Withdrawal,1267.93,AHM-008,0
TXN000297,CUST0113,2023-07-21,Bill Payment,2619.07,CHN-004,0
TXN000298,CUST0120,2024-01-06,Deposit,8841.83,CHN-004,0
TXN000299,CUST0199,2024-01-01,Bill Payment,1133.93,AHM-008,0
TXN000300,CUST0333,2023-07-21,Transfer,11563.38,DL-002,0
TXN000301,CUST0325,2024-03-23,Transfer,3683.47,HYD-005,0
TXN000302,CUST0090,2024-04-17,Bill Payment,3134.47,KOL-007,0
TXN000303,CUST0460,2024-05-30,Deposit,11535.12,JAI-009,0
TXN000304,CUST0265,2023-10-23,Bill Payment,8375.92,PUN-006,0
TXN000305,CUST0250,2023-12-24,Bill Payment,3187.02,LKN-010,1
TXN000306,CUST0226,2023-09-10,Withdrawal,19755.67,CHN-004,0
TXN000307,CUST0144,2024-05-25,Withdrawal,1343.08,BLR-003,0
TXN000308,CUST0309,2024-01-02,Deposit,10292.01,CHN-004,0
TXN000309,CUST0369,2023-12-17,Deposit,10013.82,AHM-008,0
TXN000310,CUST0108,2024-03-02,Withdrawal,3389.86,KOL-007,1
TXN000311,CUST0066,2023-07-23,Withdrawal,7268.9,BLR-003,0
TXN000312,CUST0457,2023-07-21,Withdrawal,1095.17,MU-001,1
TXN000313,CUST0265,2023-10-01,Bill Payment,14895.77,LKN-010,0
TXN000314,CUST0010,2024-05-22,Transfer,3936.78,DL-002,0
TXN000315,CUST0242,2024-05-06,Bill Payment,2624.73,BLR-003,0
TXN000316,CUST0308,2024-01-27,Withdrawal,17306.04,LKN-010,0
TXN000317,CUST0320,2023-10-02,Transfer,2110.73,BLR-003,0
TXN000318,CUST0473,2023-12-23,Bill Payment,906.73,LKN-010,0
TXN000319,CUST0194,2023-10-26,Bill Payment,759.03,BLR-003,0
TXN000320,CUST0268,2023-10-12,Bill Payment,10170.15,BLR-003,0
TXN000321,CUST0244,2023-09-29,Deposit,1057.31,JAI-009,0
TXN000322,CUST0048,2023-08-30,Bill Payment,40366.4,BLR-003,0
TXN000323,CUST0424,2024-04-02,Deposit,404.11,KOL-007,0
TXN000324,CUST0448,2024-01-06,Deposit,37637.18,JAI-009,0
TXN000325,CUST0405,2024-03-03,Bill Payment,6331.05,PUN-006,0
TXN000326,CUST0295,2024-06-21,Deposit,4376.24,KOL-007,0
TXN000327,CUST0393,2024-03-01,Withdrawal,2555.74,DL-002,1
TXN000328,CUST0210,2024-04-04,Transfer,7934.4,CHN-004,1
TXN000329,CUST0296,2023-07-04,Deposit,4697.75,JAI-009,1
TXN000330,CUST0106,2024-05-31,Transfer,18471.09,KOL-007,0
TXN000331,CUST0219,2023-09-18,Transfer,5636.81,HYD-005,0
TXN000332,CUST0290,2024-02-02,Transfer,5886.18,LKN-010,0
TXN000333,CUST0204,2024-06-13,Withdrawal,3176.91,KOL-007,0
TXN000334,CUST0248,2024-04-11,Withdrawal,4590.14,PUN-006,0
TXN000335,CUST0130,2024-03-04,Transfer,7110.74,LKN-010,0
TXN000336,CUST0204,2024-06-26,Withdrawal,631.31,DL-002,0
TXN000337,CUST0401,00/00/0000,Withdrawal,974.75,DL-002,0
TXN000338,CUST0403,2024-01-22,Transfer,,JAI-009,0
TXN000339,CUST0362,2024-06-15,Deposit,6033.23,BLR-003,0
TXN000340,CUST0003,2024-05-21,Deposit,3941.12,BLR-003,0
TXN000341,CUST0223,2024-05-03,Deposit,5024.7,DL-002,0
TXN000342,CUST0041,2024-01-06,Deposit,7458.41,KOL-007,0
TXN000343,CUST0315,2024-01-22,Transfer,2571.61,LKN-010,0
TXN000344,CUST0328,2023-09-28,Bill Payment,1931.47,AHM-008,1
TXN000345,CUST0477,2024-06-01,Transfer,6216.82,CHN-004,0
TXN000346,CUST0262,2024-05-02,Withdrawal,1519.22,LKN-010,0
TXN000347,CUST0185,2023-07-19,Withdrawal,8021.68,MU-001,0
TXN000348,CUST0142,2023-08-14,Bill Payment,637.08,PUN-006,0
TXN000349,CUST0301,2024-01-24,Withdrawal,,JAI-009,1
TXN000350,CUST0036,2024-06-25,Deposit,8665.6,JAI-009,0
TXN000351,CUST0469,2024-04-12,Transfer,6682.42,PUN-006,0
TXN000352,CUST0116,2023-11-19,Withdrawal,15982.17,AHM-008,1
TXN000353,CUST0003,2024-04-20,Transfer,36263.58,BLR-003,0
TXN000354,CUST0287,2023-08-24,Deposit,16601.43,JAI-009,0
TXN000355,CUST0412,2023-08-29,Transfer,539.67,JAI-009,0
TXN000356,CUST0129,2024-04-20,Bill Payment,1058.39,KOL-007,0
TXN000357,CUST0388,2023-11-02,Transfer,2322.08,AHM-008,0
TXN000358,CUST0442,2024-04-26,Deposit,5071.08,AHM-008,0
TXN000359,CUST0196,2023-08-04,Withdrawal,9147.09,CHN-004,1
TXN000360,CUST0490,2024-01-28,Transfer,2057.21,JAI-009,0
TXN000361,CUST0427,2024-06-23,Transfer,6149.46,CHN-004,0
TXN000362,CUST0345,2024-01-21,Transfer,1985.33,DL-002,0
TXN000363,CUST0244,2023-09-30,Transfer,2359.44,PUN-006,0
TXN000364,CUST0138,2024-04-19,Withdrawal,908.69,CHN-004,0
TXN000365,CUST0121,2023-10-11,Withdrawal,1623.14,HYD-005,0
TXN000366,CUST0428,2023-10-12,Withdrawal,970.66,LKN-010,0
TXN000367,CUST0062,2023-08-24,Deposit,1523.78,AHM-008,0
TXN000368,CUST0491,2024-04-03,Deposit,17402.52,AHM-008,0
TXN000369,CUST0253,2023-12-09,Transfer,1572.97,AHM-008,0
TXN000370,CUST0144,2024-03-18,Bill Payment,115711.87,CHN-004,0
TXN000371,CUST0028,2023-09-04,Bill Payment,8883.77,AHM-008,0
